"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0K560","2020-05-08 00:00:00","117.000","0.000","0.000","26.700","0.750","997.400","","0.000","-99.000","-99.000","-99.000","33.400","","24.100",""
"C0R150","2020-05-08 00:00:00","105.000","51.000","1.700","27.900","0.650","997.000","","0.000","-99.000","-99.000","-99.000","37.200","","25.900",""
"C0S690","2020-05-08 00:00:00","522.000","286.000","0.600","22.100","1.000","953.400","","0.500","-99.000","-99.000","-99.000","25.700","","22.100",""
"C0U870","2020-05-08 00:00:00","474.000","0.000","0.000","21.500","0.990","959.200","","4.000","-99.000","-99.000","-99.000","24.400","","19.500",""
"C0A520","2020-05-08 00:00:00","48.000","0.000","0.200","24.600","0.980","1005.300","","13.500","-99.000","-99.000","-99.000","29.100","","22.300",""
"C0X130","2020-05-08 00:00:00","27.000","151.000","0.800","27.700","0.810","1006.200","","0.000","-99.000","-99.000","-99.000","34.300","","26.700",""
"C0V400","2020-05-08 00:00:00","56.000","2.000","0.600","27.500","0.820","1003.100","","0.000","-99.000","-99.000","-99.000","32.000","","25.800",""
"C0UA40","2020-05-08 00:00:00","1121.000","242.000","0.500","18.600","0.990","888.900","","10.000","-99.000","-99.000","-99.000","21.100","","17.200",""
"C0G720","2020-05-08 00:00:00","50.000","302.000","1.400","27.100","0.880","1003.800","","0.000","-99.000","-99.000","-99.000","32.900","","25.500",""
"C0G890","2020-05-08 00:00:00","24.000","306.000","1.500","26.800","1.000","1006.800","","0.000","-99.000","-99.000","-99.000","31.900","","25.500",""
"C0I540","2020-05-08 00:00:00","3344.000","-99.000","-99.000","4.400","1.000","682.800","","-99.000","-99.000","-99.000","-99.000","8.200","","4.300",""
"C0K390","2020-05-08 00:00:00","31.000","295.000","1.800","27.300","0.860","1006.400","","0.000","-99.000","-99.000","-99.000","32.000","","25.600",""
"C0R730","2020-05-08 00:00:00","163.000","89.000","1.100","24.900","0.890","992.800","","0.000","-99.000","-99.000","-99.000","31.800","","24.600",""
"C0T9A0","2020-05-08 00:00:00","498.000","0.000","0.000","21.200","0.990","956.300","","2.500","-99.000","-99.000","-99.000","23.900","","20.000",""
"C0AH40","2020-05-08 00:00:00","426.000","353.000","0.700","23.200","0.940","959.500","","9.000","-99.000","-99.000","-99.000","26.000","","21.400",""
"C0X280","2020-05-08 00:00:00","22.000","158.000","0.600","27.800","0.790","1007.800","","0.000","-99.000","-99.000","-99.000","31.200","","27.000",""
"C0V670","2020-05-08 00:00:00","20.000","287.000","0.800","29.000","0.740","1007.600","","0.000","-99.000","-99.000","-99.000","31.000","","27.700",""
"C0G770","2020-05-08 00:00:00","15.000","332.000","0.300","27.800","0.880","1008.100","","0.000","-99.000","-99.000","-99.000","32.800","","26.400",""
"C0C540","2020-05-08 00:00:00","46.000","168.000","0.500","24.700","0.910","1004.900","","12.500","-99.000","-99.000","-99.000","28.500","","22.300",""
"C0R770","2020-05-08 00:00:00","93.000","71.000","0.800","23.400","0.930","1000.200","","0.000","-99.000","-99.000","-99.000","30.100","","23.400",""
"C0F9O0","2020-05-08 00:00:00","175.000","0.000","0.100","27.400","0.870","989.800","","0.000","-99.000","-99.000","-99.000","32.800","","26.200",""
"C0Z230","2020-05-08 00:00:00","31.000","234.000","2.400","23.900","0.900","1009.100","","3.000","-99.000","-99.000","-99.000","26.500","","23.600",""
"C0U900","2020-05-08 00:00:00","63.000","310.000","0.600","23.600","0.990","1005.600","","3.500","-99.000","-99.000","-99.000","26.400","","22.000",""
"C0X200","2020-05-08 00:00:00","61.000","0.000","0.000","25.600","0.900","1002.900","","0.000","-99.000","-99.000","-99.000","33.000","","24.000",""
"C0G640","2020-05-08 00:00:00","17.000","0.000","0.000","26.600","0.910","1010.600","","0.000","-99.000","-99.000","-99.000","32.200","","25.400",""
"C0Z080","2020-05-08 00:00:00","298.000","0.000","0.000","22.700","0.990","978.100","","3.500","-99.000","-99.000","-99.000","27.600","","21.500",""
"C0U770","2020-05-08 00:00:00","5.000","297.000","2.000","23.800","0.990","1011.100","","10.500","-99.000","-99.000","-99.000","26.600","","22.700",""
"C0Z210","2020-05-08 00:00:00","126.000","346.000","1.000","23.700","0.990","998.500","","1.500","-99.000","-99.000","-99.000","28.300","","22.000",""
"C0V690","2020-05-08 00:00:00","30.000","299.000","1.900","29.100","0.710","1007.100","","0.000","-99.000","-99.000","-99.000","30.000","","27.800",""
"C0M690","2020-05-08 00:00:00","33.000","0.000","0.000","27.000","0.860","1005.300","","0.000","-99.000","-99.000","-99.000","32.200","","25.500",""
"C0R440","2020-05-08 00:00:00","1679.000","327.000","4.200","18.400","0.720","834.700","","0.000","-99.000","-99.000","-99.000","19.900","","16.000",""
"C0F970","2020-05-08 00:00:00","145.000","25.000","0.700","27.100","0.770","992.800","","0.000","-99.000","-99.000","-99.000","31.600","","26.300",""
"C0C490","2020-05-08 00:00:00","157.000","205.000","0.400","24.600","0.900","992.500","","16.000","-99.000","-99.000","-99.000","27.100","","21.800",""
"C0T9I0","2020-05-08 00:00:00","152.000","210.000","0.700","23.300","0.990","995.500","","2.000","-99.000","-99.000","-99.000","26.600","","22.100",""
"C0V760","2020-05-08 00:00:00","30.000","0.000","0.000","28.500","0.850","1007.200","","0.000","-99.000","-99.000","-99.000","32.600","","27.300",""
"C0AG90","2020-05-08 00:00:00","25.000","0.000","0.000","25.800","0.900","1008.200","","12.000","-99.000","-99.000","-99.000","28.600","","22.900",""
"C0R570","2020-05-08 00:00:00","37.000","65.000","1.400","28.900","0.720","1004.700","","0.000","-99.000","-99.000","-99.000","33.800","","26.500",""
